"","YEAR","SITE","ZONE","MEAN","SD","N","SE",".groups"
"1",2016,"Cape Alava",5,0.0992592592592593,0.213127987591143,6,0.0870091365840873,"keep"
"2",2016,"Cape Alava",10,0.194444444444444,0.104965602831488,6,0.042852027913464,"keep"
"3",2016,"Cape Johnson",5,0.052962962962963,0.047149180984294,6,0.0192485725336093,"keep"
"4",2016,"Cape Johnson",10,0.445185185185185,0.199171948377717,6,0.0813116074335599,"keep"
"5",2016,"Destruction Island",5,0.279444444444444,0.325479702957092,4,0.162739851478546,"keep"
"6",2016,"Destruction Island",10,0.468148148148148,0.24057817873262,6,0.0982156301905019,"keep"
"7",2016,"Neah Bay",5,0.471111111111111,0.0312694383988229,4,0.0156347191994114,"keep"
"8",2016,"Neah Bay",10,0.308148148148148,0.175792620059801,6,0.0717670366155774,"keep"
"9",2016,"Tatoosh Island",5,0.234444444444444,0.213974730249124,6,0.0873548178266709,"keep"
"10",2016,"Tatoosh Island",10,0.272222222222222,0.293842151293076,2,0.207777777777778,"keep"
"11",2017,"Cape Alava",5,0.167777777777778,0.130817535190155,8,0.0462509831155343,"keep"
"12",2017,"Cape Alava",10,0.342777777777778,0.175337097167421,12,0.050615460124269,"keep"
"13",2017,"Cape Johnson",5,0.0305555555555556,0.0644581266263876,8,0.0227893892200499,"keep"
"14",2017,"Cape Johnson",10,0.240555555555555,0.136929029365188,8,0.048411722602708,"keep"
"15",2017,"Destruction Island",5,0.550555555555556,0.1397945077933,8,0.0494248222166391,"keep"
"16",2017,"Neah Bay",5,0.198888888888889,0.148834389456902,8,0.0526209030293675,"keep"
"17",2017,"Neah Bay",10,0.553333333333333,0.132988973300046,8,0.0470187024217496,"keep"
"18",2017,"Tatoosh Island",5,0.391851851851852,0.202798527604009,6,0.0827921522029251,"keep"
"19",2017,"Tatoosh Island",10,0.52952380952381,0.109173583124328,7,0.0412637358121157,"keep"
"20",2018,"Cape Alava",5,0.393611111111111,0.0784725207186345,8,0.0277442257684741,"keep"
"21",2018,"Cape Alava",10,0.361388888888889,0.179259450566167,8,0.0633777865435556,"keep"
"22",2018,"Cape Johnson",5,0.0975,0.0939618857773511,8,0.0332205433031204,"keep"
"23",2018,"Cape Johnson",10,0.108888888888889,0.158786550829344,7,0.0600156750051659,"keep"
"24",2018,"Destruction Island",5,0.388611111111111,0.252193026769819,8,0.0891636996984498,"keep"
"25",2018,"Destruction Island",10,0.428888888888889,0.187032269832903,7,0.0706915533031127,"keep"
"26",2018,"Neah Bay",5,0.366666666666667,0.121844534284388,7,0.0460529051898535,"keep"
"27",2018,"Neah Bay",10,0.238333333333333,0.230437816561404,8,0.0814720713661952,"keep"
"28",2018,"Tatoosh Island",5,0.375277777777778,0.189678787237905,8,0.0670615783515814,"keep"
"29",2018,"Tatoosh Island",10,0.418412698412698,0.213282070560502,7,0.0806130454017169,"keep"
"30",2019,"Cape Alava",5,0.375833333333333,0.193795970822095,8,0.0685172225674669,"keep"
"31",2019,"Cape Alava",10,0.306388888888889,0.20746028709877,8,0.0733482879172241,"keep"
"32",2019,"Cape Johnson",5,0.126666666666667,0.119575970405482,8,0.0422764897703391,"keep"
"33",2019,"Cape Johnson",10,0.155873015873016,0.178984003108118,7,0.0676495944118416,"keep"
"34",2019,"Destruction Island",5,0.623888888888889,0.0659404894442568,8,0.023313483620397,"keep"
"35",2019,"Destruction Island",10,0.567777777777778,0.0934239922506115,8,0.0330303692229634,"keep"
"36",2019,"Neah Bay",5,0.389206349206349,0.131508678907006,7,0.0497056085192261,"keep"
"37",2019,"Neah Bay",10,0.320248294600532,0.228766521315976,8,0.0808811792654917,"keep"
"38",2019,"Tatoosh Island",5,0.431944444444444,0.231257394180847,8,0.0817618358124037,"keep"
"39",2019,"Tatoosh Island",10,0.558888888888889,0.0484780719170031,6,0.0197910899851007,"keep"
